INFO 2012-07-11 17:00:52,635 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 17:00:52,636 configurator ['Test']
INFO 2012-07-11 17:00:52,636 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 17:00:52,637 configurator ['Test']
INFO 2012-07-11 17:00:52,747 pyredstone Server going down in 1 minute.
INFO 2012-07-11 17:01:22,805 pyredstone Server going down in 30 seconds.
INFO 2012-07-11 17:01:37,848 pyredstone Server going down in 15 seconds.
INFO 2012-07-11 17:01:53,015 pyredstone Asking configurator for config from /home/josh/minecraft/pyredstone.cfg
INFO 2012-07-11 17:01:53,016 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 17:01:53,016 configurator ['Test']
INFO 2012-07-11 17:01:53,017 configurator Getting config from config file /home/josh/minecraft/pyredstone.cfg
DEBUG 2012-07-11 17:01:53,017 configurator ['Test']
INFO 2012-07-11 17:01:53,150 pyredstone Server going down in 1 minute.
